날짜,area,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스,year,month,day,hour,minute,second,dayofweek,weekday,weekend
2016-01-01,6,80,316451,92.7,1.0,3.6,4.0,3.3,0.0,61.98888889,80.0,40.0,0.006,0.035,1.1,0.006,2016,1,1,0,0,0,4,1.0,0.0
2016-01-02,6,173,316451,92.7,1.2,3.8,4.4,7.2,0.0,48.63333333,62.0,28.0,0.009000000000000001,0.032,0.9,0.006,2016,1,2,0,0,0,5,0.0,1.0
2016-01-03,6,151,316451,92.7,0.8,3.3,4.1,7.7,0.0,64.3,119.0,53.0,0.012,0.033,0.9,0.006,2016,1,3,0,0,0,6,0.0,1.0
2016-01-04,6,170,316451,92.7,1.6,4.5,6.0,3.6,0.0,62.25555556,96.0,43.0,0.017,0.024,0.7,0.006999999999999999,2016,1,4,0,0,0,0,1.0,0.0
2016-01-05,6,159,316451,92.7,1.1,3.6,4.4,-1.3,0.0,49.89827565,40.0,18.0,0.01,0.026000000000000002,0.6,0.006999999999999999,2016,1,5,0,0,0,1,1.0,0.0
2016-01-06,6,128,316451,92.7,1.2,3.6,4.2,0.6,0.0,67.82499913,63.0,28.0,0.006,0.033,0.7,0.006999999999999999,2016,1,6,0,0,0,2,1.0,0.0
2016-01-07,6,127,316451,92.7,1.3,3.5,4.7,-1.3,0.0,40.75004869,48.0,21.0,0.011000000000000001,0.026000000000000002,0.7,0.006999999999999999,2016,1,7,0,0,0,3,1.0,0.0
2016-01-08,6,149,316451,92.7,1.5,4.3,5.0,0.3,0.0,45.23333333,38.0,18.0,0.009000000000000001,0.027999999999999997,0.7,0.006999999999999999,2016,1,8,0,0,0,4,1.0,0.0
2016-01-09,6,81,316451,92.7,1.2,4.1,5.2,-0.4,0.0,47.7207755,42.0,19.0,0.01,0.026000000000000002,0.7,0.006999999999999999,2016,1,9,0,0,0,5,0.0,1.0
2016-01-10,6,108,316451,92.7,1.4,3.7,4.9,1.9,0.0,45.96666667,39.0,20.0,0.012,0.023,0.6,0.006999999999999999,2016,1,10,0,0,0,6,0.0,1.0
2016-01-11,6,141,316451,92.7,1.4,3.6,4.5,-1.8,0.0,44.20003,48.0,21.0,0.01,0.027000000000000003,0.7,0.006999999999999999,2016,1,11,0,0,0,0,1.0,0.0
2016-01-12,6,112,316451,92.7,1.3,3.8,4.8,-3.4,0.0,48.09283622,56.0,22.0,0.009000000000000001,0.03,0.7,0.006999999999999999,2016,1,12,0,0,0,1,1.0,0.0
2016-01-13,6,111,316451,92.7,1.3,4.4,6.0,-2.9,0.0,50.91157789,40.0,19.0,0.011000000000000001,0.027000000000000003,0.6,0.006,2016,1,13,0,0,0,2,1.0,0.0
2016-01-14,6,107,316451,92.7,1.1,4.5,5.2,-2.1,0.0,40.75004132,48.0,21.0,0.009000000000000001,0.031,0.7,0.006999999999999999,2016,1,14,0,0,0,3,1.0,0.0
2016-01-15,6,143,316451,92.7,0.8,3.1,3.6,1.5,0.0,56.74166679,58.0,28.0,0.003,0.039,0.9,0.006,2016,1,15,0,0,0,4,1.0,0.0
2016-01-16,6,97,316451,92.7,1.1,3.4,4.6,1.5,0.0,63.96666667,75.0,39.0,0.003,0.039,0.8,0.006,2016,1,16,0,0,0,5,0.0,1.0
2016-01-17,6,124,316451,92.7,0.9,2.5,3.8,3.3,0.0,66.13333333,76.0,44.0,0.005,0.036000000000000004,0.9,0.006,2016,1,17,0,0,0,6,0.0,1.0
2016-01-18,6,90,316451,92.7,2.4,5.8,8.2,-4.0,0.0,64.72222222,66.0,35.0,0.013000000000000001,0.022000000000000002,0.7,0.005,2016,1,18,0,0,0,0,1.0,0.0
2016-01-19,6,47,316451,92.7,2.8,6.3,8.1,-10.8,0.0,44.38092474,39.0,14.0,0.017,0.018000000000000002,0.4,0.006,2016,1,19,0,0,0,1,1.0,0.0
2016-01-20,6,92,316451,92.7,1.2,3.4,4.5,-8.9,0.0,43.4,41.0,22.0,0.01,0.027999999999999997,0.7,0.006,2016,1,20,0,0,0,2,1.0,0.0
2016-01-21,6,108,316451,92.7,1.2,3.4,4.1,-5.4,0.0,54.35950288,54.0,27.0,0.008,0.032,0.7,0.006999999999999999,2016,1,21,0,0,0,3,1.0,0.0
2016-01-22,6,116,316451,92.7,1.4,4.0,5.1,-6.0,0.0,47.93552596,50.0,23.0,0.009000000000000001,0.03,0.7,0.006999999999999999,2016,1,22,0,0,0,4,1.0,0.0
2016-01-23,6,39,316451,92.7,2.3,5.3,6.8,-9.3,0.0,46.42697491,37.0,14.0,0.017,0.018000000000000002,0.5,0.006999999999999999,2016,1,23,0,0,0,5,0.0,1.0
2016-01-24,6,15,316451,92.7,2.0,5.0,6.3,-12.8,0.0,44.83750013,46.0,18.0,0.017,0.015,0.5,0.006999999999999999,2016,1,24,0,0,0,6,0.0,1.0
2016-01-25,6,86,316451,92.7,1.2,3.4,4.5,-7.8,0.0,47.76406264,63.0,17.0,0.01,0.028999999999999998,0.7,0.006999999999999999,2016,1,25,0,0,0,0,1.0,0.0
2016-01-26,6,85,316451,92.7,1.0,4.3,5.0,-2.3,0.0,63.87499993,92.0,34.0,0.005,0.040999999999999995,1.0,0.006999999999999999,2016,1,26,0,0,0,1,1.0,0.0
2016-01-27,6,149,316451,92.7,0.9,3.9,5.5,0.8,0.0,51.3,71.0,27.0,0.009000000000000001,0.035,0.8,0.008,2016,1,27,0,0,0,2,1.0,0.0
2016-01-28,6,156,316451,92.7,0.7,3.3,4.1,1.1,0.0,53.94166406,66.0,29.0,0.004,0.044000000000000004,1.2,0.006999999999999999,2016,1,28,0,0,0,3,1.0,0.0
2016-01-29,6,148,316451,92.7,0.7,2.6,3.6,3.2,0.0,56.63333333,59.0,24.0,0.004,0.037000000000000005,0.8,0.008,2016,1,29,0,0,0,4,1.0,0.0
2016-01-30,6,128,316451,92.7,0.9,3.4,4.4,1.7,0.0,60.56666667,48.0,24.0,0.006,0.032,0.8,0.006,2016,1,30,0,0,0,5,0.0,1.0
2016-01-31,6,64,316451,92.7,1.6,3.7,4.7,-2.1,0.0,49.11898743,43.0,19.0,0.018000000000000002,0.019,0.5,0.006999999999999999,2016,1,31,0,0,0,6,0.0,1.0
2016-02-01,6,107,316450,92.7,2.2,5.8,6.1,-4.2,0.0,33.4,46.0,17.0,0.013999999999999999,0.025,0.6,0.006999999999999999,2016,2,1,0,0,0,0,1.0,0.0
2016-02-02,6,94,316450,92.7,2.1,5.0,5.9,-1.3,0.0,37.3,49.0,20.0,0.009000000000000001,0.034,0.6,0.006999999999999999,2016,2,2,0,0,0,1,1.0,0.0
2016-02-03,6,126,316450,92.7,1.6,5.8,7.0,-1.7,0.0,52.4,63.0,28.0,0.006,0.043,0.9,0.006999999999999999,2016,2,3,0,0,0,2,1.0,0.0
2016-02-04,6,150,316450,92.7,2.0,6.3,8.8,0.8,0.0,54.1,64.0,30.0,0.009000000000000001,0.036000000000000004,0.9,0.006999999999999999,2016,2,4,0,0,0,3,1.0,0.0
2016-02-05,6,114,316450,92.7,1.9,6.4,8.6,-0.7,0.0,40.6,52.0,21.0,0.012,0.032,0.7,0.008,2016,2,5,0,0,0,4,1.0,0.0
2016-02-06,6,76,316450,92.7,2.0,6.5,8.4,-0.9,0.0,39.9,58.0,23.0,0.015,0.024,0.7,0.008,2016,2,6,0,0,0,5,0.0,1.0
2016-02-07,6,45,316450,92.7,1.7,5.5,6.9,-1.5,0.0,46.5,47.0,20.0,0.013000000000000001,0.025,0.6,0.006999999999999999,2016,2,7,0,0,0,6,0.0,1.0
2016-02-08,6,38,316450,92.7,2.3,8.8,11.5,2.0,0.0,62.2,84.0,40.0,0.022000000000000002,0.021,0.6,0.008,2016,2,8,0,0,0,0,1.0,0.0
2016-02-09,6,104,316450,92.7,2.7,7.2,9.8,2.2,0.0,51.9,56.0,23.0,0.021,0.016,0.5,0.008,2016,2,9,0,0,0,1,1.0,0.0
2016-02-10,6,211,316450,92.7,1.4,3.2,4.2,3.3,0.0,45.1,53.0,26.0,0.005,0.04,0.9,0.006999999999999999,2016,2,10,0,0,0,2,1.0,0.0
2016-02-11,6,211,316450,92.7,1.9,3.9,5.8,8.0,0.0,36.8,49.0,21.0,0.006999999999999999,0.040999999999999995,0.8,0.006999999999999999,2016,2,11,0,0,0,3,1.0,0.0
2016-02-12,6,28,316450,92.7,1.6,3.8,5.5,9.1,17.0,93.2,38.0,21.0,0.005,0.033,0.7,0.005,2016,2,12,0,0,0,4,1.0,0.0
2016-02-13,6,59,316450,92.7,1.8,8.8,11.4,12.1,20.5,95.8,18.0,11.0,0.003,0.03,0.7,0.005,2016,2,13,0,0,0,5,0.0,1.0
2016-02-14,6,45,316450,92.7,4.2,8.5,11.9,-0.4,0.5,76.8,36.0,17.0,0.018000000000000002,0.011000000000000001,0.4,0.004,2016,2,14,0,0,0,6,0.0,1.0
2016-02-15,6,92,316450,92.7,2.8,9.1,12.3,-4.7,0.0,50.3,39.0,13.0,0.017,0.019,0.4,0.005,2016,2,15,0,0,0,0,1.0,0.0
2016-02-16,6,98,316450,92.7,2.1,7.9,10.8,-1.2,1.0,68.0,31.0,15.0,0.013999999999999999,0.024,0.5,0.005,2016,2,16,0,0,0,1,1.0,0.0
2016-02-17,6,169,316450,92.7,1.9,7.5,9.6,1.0,0.0,57.4,47.0,15.0,0.011000000000000001,0.028999999999999998,0.6,0.006,2016,2,17,0,0,0,2,1.0,0.0
2016-02-18,6,170,316450,92.7,1.9,7.5,10.3,4.8,0.0,68.0,54.0,22.0,0.013999999999999999,0.03,0.7,0.006,2016,2,18,0,0,0,3,1.0,0.0
2016-02-19,6,195,316450,92.7,1.4,5.9,8.0,4.5,0.0,58.9,96.0,38.0,0.005,0.036000000000000004,1.0,0.006999999999999999,2016,2,19,0,0,0,4,1.0,0.0
2016-02-20,6,124,316450,92.7,2.2,6.8,9.9,3.3,0.0,40.6,52.0,15.0,0.013000000000000001,0.026000000000000002,0.6,0.006999999999999999,2016,2,20,0,0,0,5,0.0,1.0
2016-02-21,6,121,316450,92.7,2.4,8.1,9.9,0.9,0.0,37.6,31.0,12.0,0.021,0.017,0.5,0.006,2016,2,21,0,0,0,6,0.0,1.0
2016-02-22,6,171,316450,92.7,1.5,4.6,5.5,2.4,0.0,37.5,45.0,15.0,0.009000000000000001,0.033,0.6,0.006,2016,2,22,0,0,0,0,1.0,0.0
2016-02-23,6,155,316450,92.7,2.3,8.2,12.9,2.2,0.0,58.8,60.0,24.0,0.013000000000000001,0.025,0.6,0.005,2016,2,23,0,0,0,1,1.0,0.0
2016-02-24,6,153,316450,92.7,2.2,6.4,8.4,-1.4,0.0,43.9,33.0,15.0,0.016,0.024,0.6,0.006,2016,2,24,0,0,0,2,1.0,0.0
2016-02-25,6,157,316450,92.7,2.8,9.0,13.0,0.9,0.0,49.0,59.0,27.0,0.015,0.028999999999999998,0.6,0.006999999999999999,2016,2,25,0,0,0,3,1.0,0.0
2016-02-26,6,202,316450,92.7,1.8,7.4,9.9,3.4,0.0,40.8,58.0,27.0,0.017,0.028999999999999998,0.7,0.006999999999999999,2016,2,26,0,0,0,4,1.0,0.0
2016-02-27,6,165,316450,92.7,1.9,5.8,7.5,4.7,0.0,62.4,76.0,39.0,0.013999999999999999,0.031,0.7,0.006,2016,2,27,0,0,0,5,0.0,1.0
2016-02-28,6,70,316450,92.7,2.1,7.1,8.8,2.1,2.0,68.2,50.0,24.0,0.009000000000000001,0.034,0.7,0.006,2016,2,28,0,0,0,6,0.0,1.0
2016-02-29,6,83,316450,92.7,2.8,7.1,11.0,-2.0,0.0,49.9,63.0,28.0,0.019,0.021,0.5,0.006,2016,2,29,0,0,0,0,1.0,0.0
2016-03-01,6,132,316226,92.7,2.2,6.4,8.6,-1.4,0.0,45.8,34.0,17.0,0.02,0.02,0.5,0.005,2016,3,1,0,0,0,1,1.0,0.0
2016-03-02,6,159,316226,92.7,1.9,7.3,10.9,4.0,0.0,68.5,44.0,21.0,0.015,0.03,0.6,0.006,2016,3,2,0,0,0,2,1.0,0.0
2016-03-03,6,251,316226,92.7,1.6,5.5,6.7,8.6,0.0,67.8,64.0,29.0,0.013999999999999999,0.035,0.6,0.006,2016,3,3,0,0,0,3,1.0,0.0
2016-03-04,6,410,316226,92.7,1.8,4.2,6.2,13.0,0.0,60.7,83.0,34.0,0.009000000000000001,0.04,0.7,0.006,2016,3,4,0,0,0,4,1.0,0.0
2016-03-05,6,26,316226,92.7,1.6,6.4,9.5,12.8,33.0,90.6,27.0,14.0,0.008,0.027000000000000003,0.5,0.004,2016,3,5,0,0,0,5,0.0,1.0
2016-03-06,6,530,316226,92.7,2.3,6.7,8.5,9.7,0.0,58.0,128.0,21.0,0.015,0.021,0.5,0.005,2016,3,6,0,0,0,6,0.0,1.0
2016-03-07,6,219,316226,92.7,1.5,4.8,5.6,9.3,0.0,42.5,136.0,26.0,0.004,0.049,1.2,0.005,2016,3,7,0,0,0,0,1.0,0.0
2016-03-08,6,191,316226,92.7,2.6,6.3,8.5,5.0,0.0,36.8,132.0,21.0,0.031,0.042,2.1,0.005,2016,3,8,0,0,0,1,1.0,0.0
2016-03-09,6,183,316226,92.7,2.8,6.3,10.6,1.9,0.0,40.2,66.0,15.0,0.02,0.025,0.6,0.002,2016,3,9,0,0,0,2,1.0,0.0
2016-03-10,6,169,316226,92.7,2.2,6.7,8.8,0.7,0.0,37.5,43.0,15.0,0.021,0.023,0.6,0.005,2016,3,10,0,0,0,3,1.0,0.0
2016-03-11,6,173,316226,92.7,2.4,7.6,9.3,0.9,0.0,43.5,46.0,19.0,0.022000000000000002,0.025,0.7,0.005,2016,3,11,0,0,0,4,1.0,0.0
2016-03-12,6,161,316226,92.7,2.1,6.8,8.3,3.2,0.0,58.3,52.0,18.0,0.023,0.028999999999999998,0.7,0.006,2016,3,12,0,0,0,5,0.0,1.0
2016-03-13,6,178,316226,92.7,1.1,3.8,5.0,5.0,0.0,68.8,77.0,35.0,0.024,0.032,0.9,0.006,2016,3,13,0,0,0,6,0.0,1.0
2016-03-14,6,290,316226,92.7,1.5,4.8,6.3,6.1,0.0,60.2,81.0,44.0,0.022000000000000002,0.032,0.9,0.005,2016,3,14,0,0,0,0,1.0,0.0
2016-03-15,6,311,316226,92.7,2.1,5.8,7.5,6.6,0.0,43.5,70.0,28.0,0.013999999999999999,0.044000000000000004,0.8,0.006999999999999999,2016,3,15,0,0,0,1,1.0,0.0
2016-03-16,6,335,316226,92.7,2.0,7.0,8.8,8.8,0.0,48.5,75.0,30.0,0.017,0.048,0.9,0.008,2016,3,16,0,0,0,2,1.0,0.0
2016-03-17,6,359,316226,92.7,1.3,3.9,5.0,9.8,0.0,43.5,98.0,39.0,0.004,0.068,1.2,0.006999999999999999,2016,3,17,0,0,0,3,1.0,0.0
2016-03-18,6,602,316226,92.7,1.5,4.7,6.7,13.6,0.0,53.6,84.0,36.0,0.012,0.06,1.1,0.006999999999999999,2016,3,18,0,0,0,4,1.0,0.0
2016-03-19,6,1057,316226,92.7,2.5,6.5,8.8,12.9,0.0,59.0,94.0,40.0,0.022000000000000002,0.033,0.8,0.005,2016,3,19,0,0,0,5,0.0,1.0
2016-03-20,6,1018,316226,92.7,1.8,5.1,6.3,11.4,0.0,55.4,104.0,47.0,0.018000000000000002,0.038,0.9,0.008,2016,3,20,0,0,0,6,0.0,1.0
2016-03-21,6,464,316226,92.7,2.0,6.8,9.1,11.2,0.0,56.0,107.0,49.0,0.016,0.047,0.9,0.008,2016,3,21,0,0,0,0,1.0,0.0
2016-03-22,6,474,316226,92.7,2.4,7.0,9.1,9.4,0.0,56.1,84.0,44.0,0.034,0.036000000000000004,0.7,0.006,2016,3,22,0,0,0,1,1.0,0.0
2016-03-23,6,399,316226,92.7,2.3,7.6,10.7,9.3,0.0,53.3,93.0,44.0,0.03,0.031,0.8,0.005,2016,3,23,0,0,0,2,1.0,0.0
2016-03-24,6,353,316226,92.7,2.2,6.3,8.7,8.2,0.0,39.3,56.0,21.0,0.025,0.027999999999999997,0.7,0.005,2016,3,24,0,0,0,3,1.0,0.0
2016-03-25,6,420,316226,92.7,2.0,5.5,7.6,8.0,0.0,48.3,87.0,35.0,0.022000000000000002,0.038,0.8,0.006,2016,3,25,0,0,0,4,1.0,0.0
2016-03-26,6,668,316226,92.7,2.0,6.6,8.8,7.6,0.0,52.8,78.0,38.0,0.026000000000000002,0.034,0.7,0.006,2016,3,26,0,0,0,5,0.0,1.0
2016-03-27,6,760,316226,92.7,2.4,8.1,10.6,8.1,0.0,51.3,76.0,38.0,0.032,0.028999999999999998,0.8,0.006,2016,3,27,0,0,0,6,0.0,1.0
2016-03-28,6,527,316226,92.7,1.7,5.6,7.6,10.3,0.0,48.3,82.0,37.0,0.033,0.039,0.9,0.008,2016,3,28,0,0,0,0,1.0,0.0
2016-03-29,6,324,316226,92.7,2.4,8.5,12.5,12.7,0.0,57.7,113.0,50.0,0.047,0.027000000000000003,0.8,0.008,2016,3,29,0,0,0,1,1.0,0.0
2016-03-30,6,564,316226,92.7,2.1,7.3,9.3,12.7,0.0,53.0,112.0,47.0,0.027000000000000003,0.036000000000000004,0.8,0.006,2016,3,30,0,0,0,2,1.0,0.0
2016-03-31,6,711,316226,92.7,1.8,5.7,7.4,14.3,0.0,32.2,65.0,22.0,0.012,0.057999999999999996,0.8,0.006999999999999999,2016,3,31,0,0,0,3,1.0,0.0
2016-04-01,6,1008,315998,92.8,1.8,6.0,7.8,16.4,0.0,31.8,86.0,28.0,0.016,0.06,0.9,0.006999999999999999,2016,4,1,0,0,0,4,1.0,0.0
2016-04-02,6,1536,315998,92.8,2.1,7.5,11.2,16.1,0.0,41.9,93.0,36.0,0.032,0.045,0.8,0.006999999999999999,2016,4,2,0,0,0,5,0.0,1.0
2016-04-03,6,178,315998,92.8,1.9,6.6,8.8,12.2,2.0,76.2,58.0,25.0,0.019,0.028999999999999998,0.6,0.003,2016,4,3,0,0,0,6,0.0,1.0
2016-04-04,6,1032,315998,92.8,2.0,5.8,8.4,13.1,0.0,48.5,39.0,14.0,0.013999999999999999,0.036000000000000004,0.6,0.003,2016,4,4,0,0,0,0,1.0,0.0
2016-04-05,6,933,315998,92.8,2.3,7.3,9.9,13.0,0.0,43.5,69.0,20.0,0.026000000000000002,0.03,0.5,0.006999999999999999,2016,4,5,0,0,0,1,1.0,0.0
2016-04-06,6,987,315998,92.8,1.5,6.7,9.5,15.3,2.5,43.7,83.0,32.0,0.021,0.046,0.7,0.006999999999999999,2016,4,6,0,0,0,2,1.0,0.0
2016-04-07,6,625,315998,92.8,2.5,7.3,9.9,15.3,8.0,71.5,50.0,21.0,0.02,0.032,0.6,0.003,2016,4,7,0,0,0,3,1.0,0.0
2016-04-08,6,831,315998,92.8,2.4,8.0,11.2,12.7,0.0,75.1,78.0,38.0,0.026000000000000002,0.027999999999999997,0.6,0.004,2016,4,8,0,0,0,4,1.0,0.0
2016-04-09,6,827,315998,92.8,1.5,4.5,5.8,12.1,0.0,83.3,130.0,61.0,0.019,0.033,0.8,0.005,2016,4,9,0,0,0,5,0.0,1.0
2016-04-10,6,788,315998,92.8,2.1,7.6,9.8,15.1,0.0,73.3,142.0,69.0,0.03,0.027999999999999997,0.9,0.004,2016,4,10,0,0,0,6,0.0,1.0
2016-04-11,6,804,315998,92.8,2.1,6.0,7.9,13.2,0.0,46.3,55.0,22.0,0.023,0.03,0.4,0.004,2016,4,11,0,0,0,0,1.0,0.0
2016-04-12,6,601,315998,92.8,1.9,5.4,8.3,14.9,0.0,48.4,68.0,30.0,0.023,0.036000000000000004,0.6,0.004,2016,4,12,0,0,0,1,1.0,0.0
2016-04-13,6,1063,315998,92.8,1.5,5.1,6.5,16.2,0.0,66.7,66.0,35.0,0.015,0.045,0.7,0.003,2016,4,13,0,0,0,2,1.0,0.0
2016-04-14,6,543,315998,92.8,2.3,7.2,9.1,14.4,0.0,74.0,62.0,32.0,0.012,0.039,0.6,0.003,2016,4,14,0,0,0,3,1.0,0.0
2016-04-15,6,765,315998,92.8,2.2,6.9,9.0,16.2,0.0,49.3,61.0,29.0,0.026000000000000002,0.038,0.6,0.004,2016,4,15,0,0,0,4,1.0,0.0
2016-04-16,6,173,315998,92.8,2.4,8.2,10.9,16.0,23.5,59.7,58.0,25.0,0.022000000000000002,0.04,0.6,0.004,2016,4,16,0,0,0,5,0.0,1.0
2016-04-17,6,417,315998,92.8,4.3,13.0,17.5,12.6,17.0,69.3,54.0,18.0,0.035,0.013000000000000001,0.5,0.003,2016,4,17,0,0,0,6,0.0,1.0
2016-04-18,6,343,315998,92.8,2.5,9.6,12.4,12.6,2.0,64.2,70.0,26.0,0.042,0.023,0.5,0.003,2016,4,18,0,0,0,0,1.0,0.0
2016-04-19,6,576,315998,92.8,2.1,7.2,9.1,13.3,0.0,57.1,43.0,18.0,0.019,0.027999999999999997,0.5,0.003,2016,4,19,0,0,0,1,1.0,0.0
2016-04-20,6,351,315998,92.8,1.6,5.7,9.2,15.5,0.0,56.4,58.0,25.0,0.008,0.052000000000000005,0.7,0.004,2016,4,20,0,0,0,2,1.0,0.0
2016-04-21,6,278,315998,92.8,2.0,4.8,5.9,14.4,19.0,87.7,25.0,16.0,0.027666667000000002,0.030666667,0.433333333,0.003333333,2016,4,21,0,0,0,3,1.0,0.0
2016-04-22,6,549,315998,92.8,2.4,7.3,10.8,15.3,0.0,81.3,84.66666667,54.66666667,0.030333332999999997,0.031,0.6,0.004333333,2016,4,22,0,0,0,4,1.0,0.0
2016-04-23,6,493,315998,92.8,2.0,6.6,8.8,14.7,0.0,54.3,56.33333333,29.33333333,0.041666667000000004,0.031333333,0.5,0.005333333000000001,2016,4,23,0,0,0,5,0.0,1.0
2016-04-24,6,659,315998,92.8,1.7,5.5,7.8,16.4,0.0,40.0,72.0,47.0,0.034666667000000005,0.046666667,0.666666667,0.005,2016,4,24,0,0,0,6,0.0,1.0
2016-04-25,6,631,315998,92.8,1.9,6.4,8.1,18.3,0.0,40.6,76.66666667,25.0,0.021,0.052666667,0.6333333329999999,0.004666667,2016,4,25,0,0,0,0,1.0,0.0
2016-04-26,6,733,315998,92.8,1.9,5.4,7.6,21.4,0.0,40.5,92.0,32.0,0.037000000000000005,0.038,0.8,0.004,2016,4,26,0,0,0,1,1.0,0.0
2016-04-27,6,577,315998,92.8,3.2,7.2,10.0,18.3,0.0,34.9,55.0,16.0,0.037000000000000005,0.022000000000000002,0.5,0.003,2016,4,27,0,0,0,2,1.0,0.0
2016-04-28,6,693,315998,92.8,1.9,5.6,7.6,18.1,0.0,37.6,74.0,25.0,0.027000000000000003,0.034,0.6,0.003,2016,4,28,0,0,0,3,1.0,0.0
2016-04-29,6,797,315998,92.8,2.1,7.3,8.7,17.6,0.0,45.6,78.0,31.0,0.031,0.033,0.7,0.004,2016,4,29,0,0,0,4,1.0,0.0
2016-04-30,6,627,315998,92.8,2.1,7.5,10.3,17.4,0.0,50.9,90.0,34.0,0.053,0.023,0.8,0.006,2016,4,30,0,0,0,5,0.0,1.0
2016-05-01,6,1003,315556,93.0,1.8,6.8,9.4,19.7,0.0,43.8,51.0,22.0,0.047,0.019,0.6,0.004,2016,5,1,0,0,0,6,0.0,1.0
2016-05-02,6,365,315556,93.0,1.7,6.3,9.9,21.9,17.5,64.2,51.0,26.0,0.026000000000000002,0.027999999999999997,0.7,0.003,2016,5,2,0,0,0,0,1.0,0.0
2016-05-03,6,44,315556,93.0,3.8,11.1,15.6,14.6,28.0,89.4,22.0,11.0,0.022000000000000002,0.015,0.5,0.002,2016,5,3,0,0,0,1,1.0,0.0
2016-05-04,6,524,315556,93.0,5.3,13.3,17.4,16.6,0.0,48.8,62.0,16.0,0.031,0.018000000000000002,0.4,0.003,2016,5,4,0,0,0,2,1.0,0.0
2016-05-05,6,1145,315556,93.0,1.5,5.4,7.0,19.2,5.5,49.9,63.0,25.0,0.025,0.033,0.8,0.004,2016,5,5,0,0,0,3,1.0,0.0
2016-05-06,6,154,315556,93.0,1.3,5.1,6.5,16.9,8.0,93.4,54.0,26.0,0.023666667000000002,0.03,0.7,0.002,2016,5,6,0,0,0,4,1.0,0.0
2016-05-07,6,968,315556,93.0,2.0,6.9,9.6,17.5,0.0,63.0,122.0,25.0,0.027333332999999998,0.027000000000000003,0.6,0.002,2016,5,7,0,0,0,5,0.0,1.0
2016-05-08,6,794,315556,93.0,2.0,6.4,8.6,20.1,0.0,50.1,63.0,20.0,0.034,0.031,0.6,0.002,2016,5,8,0,0,0,6,0.0,1.0
2016-05-09,6,636,315556,93.0,1.8,4.8,6.6,21.1,0.0,44.1,68.0,25.0,0.025,0.039,0.7,0.003,2016,5,9,0,0,0,0,1.0,0.0
2016-05-10,6,177,315556,93.0,2.5,5.8,7.3,15.8,12.5,78.9,36.0,15.0,0.025,0.027000000000000003,0.6,0.003,2016,5,10,0,0,0,1,1.0,0.0
2016-05-11,6,706,315556,93.0,2.1,6.3,8.8,17.7,0.0,61.3,37.0,17.0,0.031,0.03,0.6,0.004,2016,5,11,0,0,0,2,1.0,0.0
2016-05-12,6,681,315556,93.0,2.3,7.5,9.7,19.2,0.0,60.2,32.0,18.0,0.04,0.026000000000000002,0.6,0.004,2016,5,12,0,0,0,3,1.0,0.0
2016-05-13,6,843,315556,93.0,2.0,6.2,8.3,19.1,0.0,60.1,43.0,25.0,0.04,0.024,0.7,0.004,2016,5,13,0,0,0,4,1.0,0.0
2016-05-14,6,1219,315556,93.0,2.0,6.8,8.7,21.2,0.0,50.2,42.0,20.0,0.04,0.027000000000000003,0.6,0.005,2016,5,14,0,0,0,5,0.0,1.0
2016-05-15,6,203,315556,93.0,2.4,8.0,10.7,18.9,33.5,71.6,33.0,19.0,0.042,0.016,0.6,0.004,2016,5,15,0,0,0,6,0.0,1.0
2016-05-16,6,661,315556,93.0,2.9,8.9,13.2,17.0,3.0,57.0,44.0,22.0,0.04,0.02,0.6,0.005,2016,5,16,0,0,0,0,1.0,0.0
2016-05-17,6,694,315556,93.0,1.7,5.5,7.7,19.9,0.0,51.6,80.0,37.0,0.040999999999999995,0.04,0.8,0.008,2016,5,17,0,0,0,1,1.0,0.0
2016-05-18,6,733,315556,93.0,1.5,4.4,6.2,23.0,0.0,44.5,70.0,32.0,0.032,0.047,0.9,0.006,2016,5,18,0,0,0,2,1.0,0.0
2016-05-19,6,656,315556,93.0,1.5,4.7,6.8,24.9,0.0,41.1,49.0,24.0,0.034,0.043,0.8,0.004,2016,5,19,0,0,0,3,1.0,0.0
2016-05-20,6,804,315556,93.0,1.7,5.4,7.1,25.2,0.0,35.3,67.0,37.0,0.044000000000000004,0.047,0.7,0.005,2016,5,20,0,0,0,4,1.0,0.0
2016-05-21,6,800,315556,93.0,2.0,5.1,6.9,24.9,0.0,27.7,46.0,27.0,0.044000000000000004,0.035,0.6,0.004,2016,5,21,0,0,0,5,0.0,1.0
2016-05-22,6,683,315556,93.0,1.8,5.5,6.7,25.2,0.0,40.1,70.0,45.0,0.053,0.036000000000000004,0.7,0.005,2016,5,22,0,0,0,6,0.0,1.0
2016-05-23,6,675,315556,93.0,1.9,6.5,8.3,24.2,0.0,46.1,83.0,50.0,0.047,0.039,0.7,0.006,2016,5,23,0,0,0,0,1.0,0.0
2016-05-24,6,359,315556,93.0,1.8,5.8,7.9,18.2,32.0,81.2,37.0,27.0,0.042,0.018000000000000002,0.6,0.003,2016,5,24,0,0,0,1,1.0,0.0
2016-05-25,6,658,315556,93.0,1.9,5.9,8.1,20.6,0.0,68.8,104.0,66.0,0.053,0.019,0.7,0.004,2016,5,25,0,0,0,2,1.0,0.0
