area,날짜,rentcnt,인구,아파트가격,평균풍속,최대풍속,순간최고풍속,기온평균,강수일강수,습도평균,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
양천구,2016-07-18,1,410842,93.9,1.3,4.2,5.3,24.6,0,77,23,12,0.022,0.025,0.4,0.005
양천구,2016-07-19,19,410842,93.9,1.8,4.7,6.1,27.2,0,70.4,34,18,0.048,0.032,0.5,0.003
양천구,2016-07-20,55,410842,93.9,2.1,4.8,6.9,28.9,0,65.5,36,20,0.043,0.04,0.5,0.003
양천구,2016-07-21,54,410842,93.9,2.1,4.5,6.4,28.4,0,66.1,26,16,0.046,0.028,0.4,0.003
양천구,2016-07-22,57,410842,93.9,1.9,5.4,8.1,29.8,0,65.4,31,18,0.047,0.025,0.4,0.003
양천구,2016-07-23,52,410842,93.9,1.5,4.4,6.1,29.4,0,72.2,37,22,0.039,0.017,0.4,0.005
양천구,2016-07-24,58,410842,93.9,1.3,4,5.1,28.7,1,80.6,39,22,0.026,0.014,0.3,0.004
양천구,2016-07-25,105,410842,93.9,1.3,4.4,5.7,29.1,0,77.4,47,28,0.027,0.019,0.3,0.005
양천구,2016-07-26,89,410842,93.9,1.9,7.1,8.7,29,0,72.3,37,23,0.019,0.016,0.2,0.004
양천구,2016-07-27,93,410842,93.9,1.3,4.9,8.7,28.4,1,77.8,37,22,0.022,0.016,0.2,0.004
양천구,2016-07-28,101,410842,93.9,2.1,7.2,9.5,28.8,0,72.7,56,32,0.048,0.02,0.3,0.003
양천구,2016-07-29,48,410842,93.9,1.5,4.7,6.2,26.7,40,85.9,54,29,0.025,0.034,0.4,0.003
양천구,2016-07-30,68,410842,93.9,1.3,4.7,6.2,29.5,2,76.8,48,29,0.036,0.02,0.4,0.003
양천구,2016-07-31,87,410842,93.9,1.9,6.6,9,29.7,0,73.8,44,27,0.019,0.015,0.3,0.003
양천구,2016-08-01,127,410486,94.4,1.8,5.8,7.2,28.6,0,74.3,32,19,0.012,0.017,0.3,0.003
양천구,2016-08-02,68,410486,94.4,1.5,6.4,8.8,28.1,0,74.3,27,16,0.013,0.027,0.4,0.003
양천구,2016-08-03,112,410486,94.4,1.6,3.8,4.8,29.6,0,67.9,25,14,0.03,0.034,0.4,0.004
양천구,2016-08-04,94,410486,94.4,1.9,4.8,6.2,31.3,0,64.1,35,20,0.042,0.033,0.5,0.003
양천구,2016-08-05,89,410486,94.4,1.8,4.5,6.1,31.9,0,60.3,42,25,0.05,0.032,0.5,0.003
양천구,2016-08-06,79,410486,94.4,1.7,4.3,6.1,31.4,0,66.5,60,37,0.056,0.031,0.5,0.004
양천구,2016-08-07,103,410486,94.4,1.9,5.6,7.1,31.7,0,60.2,30,20,0.043,0.02,0.4,0.004
양천구,2016-08-08,101,410486,94.4,1.8,4.8,6.5,31.1,0,66.1,38,22,0.037,0.022,0.4,0.003
양천구,2016-08-09,92,410486,94.4,1.9,5.7,7.9,30.1,0,68.5,38,23,0.044,0.032,0.4,0.003
양천구,2016-08-10,121,410486,94.4,1.8,5.8,8,30.6,0,68.6,85,52,0.046,0.026,0.5,0.005
양천구,2016-08-11,106,410486,94.4,1.6,4.3,6,31.4,0,64.3,30,18,0.031,0.022,0.4,0.004
양천구,2016-08-12,109,410486,94.4,1.8,5.3,7.1,31.3,0,68.6,42,26,0.025,0.02,0.3,0.003
양천구,2016-08-13,95,410486,94.4,2.3,6.4,8,31,0,69.8,33,23,0.021,0.016,0.3,0.004
양천구,2016-08-14,129,410486,94.4,1.5,4.3,6.4,29.5,3,78.6,36,26,0.025,0.012,0.3,0.004
양천구,2016-08-15,120,410486,94.4,1.8,5.1,6.4,30.1,0,68.6,32,20,0.042,0.015,0.4,0.004
양천구,2016-08-16,142,410486,94.4,1.6,5.3,7.1,30.5,0,65.4,40,23,0.048,0.025,0.5,0.005
양천구,2016-08-17,104,410486,94.4,1.7,4.3,6,30.4,0,64.1,42,24,0.038,0.029,0.5,0.004
양천구,2016-08-18,121,410486,94.4,1.5,4.4,6.3,29.4,9.5,70.6,46,28,0.05,0.031,0.5,0.006
양천구,2016-08-19,110,410486,94.4,1.6,3.7,5.2,29.6,1.5,73.7,56,38,0.053,0.045,0.6,0.005
양천구,2016-08-20,163,410486,94.4,2.1,4.1,5.5,30.6,0,63.6,34,21,0.049,0.027,0.5,0.003
양천구,2016-08-21,106,410486,94.4,2,4.4,5.6,30.8,0,61.5,27,15,0.056,0.017,0.4,0.003
양천구,2016-08-22,93,410486,94.4,1.8,5,6,30.5,0,63.7,29,17,0.037,0.024,0.4,0.003
양천구,2016-08-23,86,410486,94.4,2,4.7,6.5,29.3,0.5,67.9,30,19,0.039,0.029,0.4,0.004
양천구,2016-08-24,131,410486,94.4,1.7,4.4,5.6,29.9,0,62.8,31,18,0.033,0.028,0.4,0.005
양천구,2016-08-25,91,410486,94.4,1.9,5.9,8.1,28,5,71.7,24,13,0.031,0.024,0.4,0.004
양천구,2016-08-26,156,410486,94.4,3.3,9.2,12.8,23.5,20.5,63.2,14,5,0.033,0.017,0.3,0.003
양천구,2016-08-27,187,410486,94.4,2.8,6.7,9.6,23.5,0,48.3,11,3,0.032,0.017,0.3,0.003
양천구,2016-08-28,191,410486,94.4,2.9,7.3,9.5,21.2,4.5,68.1,9,3,0.028,0.011,0.3,0.003
양천구,2016-08-29,184,410486,94.4,2.6,7,8.7,22.4,0,59.1,13,5,0.024,0.017,0.3,0.003
양천구,2016-08-30,168,410486,94.4,2.2,5.8,8.2,21.5,0,65.6,22,7,0.026,0.015,0.3,0.003
양천구,2016-08-31,52,410486,94.4,3.5,8.9,11.9,18.6,16.5,86.1,17,6,0.021,0.018,0.3,0.004
양천구,2016-09-01,147,409955,95,1.5,6.8,11.4,23.8,0,74.3,51,27,0.054,0.024,0.6,0.004
양천구,2016-09-02,161,409955,95,2.8,7.8,9.9,24.5,7,73.1,29,18,0.048,0.021,0.4,0.003
양천구,2016-09-03,196,409955,95,1.6,5,6.5,24.4,1,77.1,18,10,0.039,0.024,0.5,0.003
양천구,2016-09-04,229,409955,95,1.8,4.2,5.6,26.1,0,75.6,23,13,0.024,0.026,0.5,0.003
양천구,2016-09-05,165,409955,95,1.6,4.7,6.4,27.1,0,69.1,27,14,0.028,0.026,0.5,0.003
양천구,2016-09-06,178,409955,95,1.6,5.3,7.1,25.6,0,71.6,51,31,0.037,0.027,0.5,0.005
양천구,2016-09-07,152,409955,95,1.6,5.5,7.1,25.1,1,74.1,69,43,0.036,0.03,0.6,0.004
양천구,2016-09-08,136,409955,95,1.4,4.6,6.7,23.9,3,77.6,43,25,0.029,0.036,0.6,0.005
양천구,2016-09-09,141,409955,95,1.5,4.8,6.2,24.3,1,74.5,41,25,0.03,0.036,0.6,0.003
양천구,2016-09-10,220,409955,95,1.9,4.9,6.5,24.7,0,70.1,42,25,0.039,0.034,0.6,0.003
양천구,2016-09-11,224,409955,95,1.7,4.5,5.8,25,0,70.2,36,24,0.052,0.02,0.5,0.003
양천구,2016-09-12,181,409955,95,2.1,7.4,9.4,24.1,3,74.3,30,18,0.022,0.032,0.5,0.003
양천구,2016-09-13,200,409955,95,1.8,4.3,5.9,24.7,0,67.3,19,9,0.028,0.029,0.4,0.003
양천구,2016-09-14,209,409955,95,1.8,4.7,5.8,25.3,0,67.4,35,21,0.039,0.025,0.5,0.004
양천구,2016-09-15,205,409955,95,1.5,4.1,5.1,24.2,0,72,34,23,0.037,0.021,0.5,0.004
양천구,2016-09-16,262,409955,95,1.4,3.9,5.1,25.1,0,68.4,45,30,0.042,0.023,0.6,0.008
양천구,2016-09-17,285,409955,95,2.5,6.2,9.4,23.6,8.5,69.5,29,16,0.041,0.016,0.4,0.003
양천구,2016-09-18,278,409955,95,2.9,6.8,8.3,23.7,0,58.9,21,11,0.037,0.015,0.3,0.002
양천구,2016-09-19,198,409955,95,3.2,7.5,11.4,22.2,0,58.5,11,3,0.029,0.017,0.3,0.002
양천구,2016-09-20,203,409955,95,2.9,7.5,9.3,21.1,0,47,14,7,0.03,0.02,0.3,0.003
양천구,2016-09-21,178,409955,95,2,4.3,5.7,20.4,0,49.8,28,18,0.028,0.029,0.4,0.003
양천구,2016-09-22,215,409955,95,1.6,3.6,4.8,21.8,0,52.8,35,22,0.032,0.03,0.4,0.003
양천구,2016-09-23,215,409955,95,1.7,3.6,4.7,21.8,0,61.1,47,29,0.042,0.037,0.5,0.005
양천구,2016-09-24,296,409955,95,1.7,5.4,7.3,22.6,0,63.2,55,34,0.05,0.04,0.6,0.005
양천구,2016-09-25,271,409955,95,1.4,4.6,5.9,23.4,0,63.6,46,30,0.04,0.034,0.5,0.004
양천구,2016-09-26,229,409955,95,1.8,5.2,6.9,23.9,0,64.7,39,23,0.017,0.048,0.5,0.003
양천구,2016-09-27,52,409955,95,1.5,4.7,6.2,21.3,14,84,31,19,0.007,0.046,0.6,0.003
양천구,2016-09-28,201,409955,95,1.3,3.4,4.3,20.8,0.5,86.7,31,17,0.013,0.029,0.5,0.003
양천구,2016-09-29,207,409955,95,2.8,5.6,8.7,20.8,0,66.6,15,5,0.013,0.022,0.4,0.003
양천구,2016-09-30,218,409955,95,1.4,3.4,4.1,21.2,0,68.3,28,11,0.013,0.036,0.4,0.003
양천구,2016-10-01,254,409099,95.9,1.5,3.5,5.2,21.5,0,73.2,52,30,0.009,0.045,0.5,0.005
양천구,2016-10-02,58,409099,95.9,1.9,5.1,6.8,19.5,13,85.8,30,17,0.007,0.031,0.4,0.004
양천구,2016-10-03,242,409099,95.9,1.5,7.8,11,23.9,6.5,75.4,16,8,0.014,0.021,0.3,0.004
양천구,2016-10-04,223,409099,95.9,2.5,6.3,7.9,22.3,0,65,33,15,0.012,0.032,0.4,0.004
양천구,2016-10-05,236,409099,95.9,2.4,5.6,8.4,21.9,0,64.9,29,13,0.019,0.022,0.3,0.004
양천구,2016-10-06,211,409099,95.9,1.6,4.2,5.1,19.3,0,62.4,37,16,0.017,0.025,0.4,0.004
양천구,2016-10-07,133,409099,95.9,2.2,5.4,8.3,20.2,1,70.1,29,14,0.012,0.027,0.4,0.003
양천구,2016-10-08,193,409099,95.9,2.5,7.3,11.8,17.9,6,69.7,21,11,0.022,0.016,0.3,0.004
양천구,2016-10-09,182,409099,95.9,2.1,4.8,6.7,12.4,0,48.4,19,9,0.02,0.013,0.3,0.003
양천구,2016-10-10,192,409099,95.9,1.7,4.2,5.6,14.4,0,45.7,30,13,0.012,0.03,0.4,0.003
양천구,2016-10-11,172,409099,95.9,1.8,5.1,7.2,15.7,0,62.9,48,24,0.01,0.047,0.6,0.005
양천구,2016-10-12,189,409099,95.9,1.5,6.7,7.9,16.6,0,61.5,58,27,0.016,0.028,0.5,0.004
양천구,2016-10-13,191,409099,95.9,1.6,4.9,5.9,15.8,0,47.1,45,21,0.01,0.038,0.5,0.004
양천구,2016-10-14,167,409099,95.9,1.3,3.4,4.4,17,0,63.9,76,38,0.01,0.056,1,0.005
양천구,2016-10-15,230,409099,95.9,1.5,3.4,5.4,19.1,0,65.8,85,46,0.015,0.053,1,0.005
양천구,2016-10-16,103,409099,95.9,1.4,3.2,4,17.9,1,76,64,38,0.011,0.043,0.8,0.004
양천구,2016-10-17,188,409099,95.9,1.4,4.1,6.4,18.1,0,78.3,57,33,0.016,0.035,0.7,0.004
양천구,2016-10-18,204,409099,95.9,1.3,3.4,4.8,17.5,0,75.3,61,27,0.01,0.045,0.8,0.005
양천구,2016-10-19,195,409099,95.9,1.6,4.4,6,18.7,0,70.2,77,37,0.02,0.058,1,0.006
양천구,2016-10-20,222,409099,95.9,1.8,5.4,8.5,18.8,0,67.1,59,34,0.023,0.055,0.7,0.004
양천구,2016-10-21,208,409099,95.9,2.3,5.2,7,18.4,0,62.7,21,10,0.025,0.03,0.4,0.004
양천구,2016-10-22,225,409099,95.9,1.8,3.8,4.8,18.8,0,63.1,26,12,0.024,0.032,0.4,0.004
양천구,2016-10-23,57,409099,95.9,3.2,8.3,12.1,14.5,2,68.1,11,5,0.026,0.02,0.3,0.003
양천구,2016-10-24,204,409099,95.9,2,4.3,6.3,15,0,59.9,14,6,0.017,0.031,0.4,0.003
양천구,2016-10-25,111,409099,95.9,1.7,4.7,6.3,14.7,39,85.2,16,8,0.014,0.033,0.5,0.003
양천구,2016-10-26,168,409099,95.9,1.2,3,3.7,13.9,0,86,41,21,0.009,0.042,0.8,0.004
양천구,2016-10-27,194,409099,95.9,1.6,4.3,5.2,15.1,0,72,39,20,0.008,0.039,0.7,0.003
양천구,2016-10-28,155,409099,95.9,1.7,4.4,6.7,16,0,65.8,32,14,0.017,0.033,0.5,0.003
양천구,2016-10-29,129,409099,95.9,1.9,5.9,7.8,10,0,44.2,31,14,0.025,0.02,0.4,0.003
양천구,2016-10-30,110,409099,95.9,1.3,3.4,4.4,8.6,0,34.4,23,11,0.016,0.032,0.4,0.003
양천구,2016-10-31,95,409099,95.9,1.8,5.6,7.5,7.3,0,59.1,30,15,0.008,0.039,0.5,0.004
양천구,2016-11-01,95,407823,96.6,1.9,5,7.5,3.3,0,43,23,11,0.02,0.024,0.4,0.003
양천구,2016-11-02,82,407823,96.6,1.5,5.7,6.9,4.9,0,52.9,32,16,0.009,0.045,0.6,0.004
양천구,2016-11-03,118,407823,96.6,1.5,5.9,7.6,9.5,0.5,68.2,40,22,0.015,0.047,0.6,0.005
양천구,2016-11-04,136,407823,96.6,1.3,5,7,13.1,0,68.1,54,30,0.028,0.04,0.6,0.006
양천구,2016-11-05,143,407823,96.6,1.1,6,7.9,15.8,0,77.8,71,38,0.041,0.034,0.7,0.005
양천구,2016-11-06,160,407823,96.6,3,6.4,8.2,14.7,0,63.7,37,21,0.021,0.029,0.5,0.003
양천구,2016-11-07,73,407823,96.6,2.1,5.5,7.4,14,4.5,70.2,34,21,0.018,0.031,0.5,0.003
양천구,2016-11-08,103,407823,96.6,2.3,5.3,7.1,6.2,0,61.4,60,44,0.024,0.022,0.5,0.003
양천구,2016-11-09,87,407823,96.6,2,5.6,6.8,3.6,0,43,37,24,0.015,0.033,0.5,0.003
양천구,2016-11-10,93,407823,96.6,1.6,4.4,5.2,6.5,1,59.9,40,25,0.002,0.054,0.7,0.004
양천구,2016-11-11,109,407823,96.6,2,7.3,10.4,10.3,8,66.9,46,20,0.013,0.041,0.6,0.004
양천구,2016-11-12,105,407823,96.6,1.3,5.5,7.2,12,0,64.9,63,26,0.014,0.049,0.7,0.004
양천구,2016-11-13,130,407823,96.6,1.3,3.5,4.8,15.1,0,76.4,57,27,0.008,0.05,0.7,0.004
양천구,2016-11-14,75,407823,96.6,1,2.7,4.2,14.4,2,83.7,48,25,0.003,0.053,0.7,0.004
양천구,2016-11-15,120,407823,96.6,1.9,4.8,6.2,8,0,45.3,49,18,0.018,0.027,0.4,0.004
양천구,2016-11-16,114,407823,96.6,1.2,2.9,3.4,6.4,0,48.1,49,24,0.004,0.05,0.7,0.005
양천구,2016-11-17,104,407823,96.6,1.2,3.3,4,9.7,0,57.4,65,34,0.005,0.057,0.9,0.005
양천구,2016-11-18,100,407823,96.6,1.5,3.5,4.4,10.7,0,63.7,91,54,0.002,0.068,1.1,0.006
양천구,2016-11-19,138,407823,96.6,2,5.7,7.4,13.7,0,70.7,59,35,0.009,0.044,0.7,0.005
양천구,2016-11-20,121,407823,96.6,2,5.8,7.6,11.9,0,52.3,39,22,0.015,0.028,0.7,0.004
양천구,2016-11-21,117,407823,96.6,1.7,4.2,6.3,10.7,0,46.1,56,26,0.005,0.046,0.8,0.004
양천구,2016-11-22,73,407823,96.6,2.5,6.6,8.5,4.8,0,44.9,35,16,0.019,0.02,0.4,0.004
양천구,2016-11-23,64,407823,96.6,2.1,4.7,6,0.3,0,37.2,35,14,0.015,0.023,0.4,0.004
양천구,2016-11-24,68,407823,96.6,1.9,6.5,7.9,-0.6,0,38.4,26,13,0.015,0.028,0.5,0.004
양천구,2016-11-25,73,407823,96.6,1.4,4.1,5.8,1.8,0,45.3,36,18,0.007,0.046,0.8,0.004
양천구,2016-11-26,23,407823,96.6,1.6,3.4,4.3,1.6,1,70.5,56,38,0.002,0.05,0.9,0.004
양천구,2016-11-27,50,407823,96.6,1.2,2.9,3.4,4.2,0,83.3,72,51,0.003,0.042,0.9,0.004
양천구,2016-11-28,67,407823,96.6,1.7,5.6,8.4,3.3,0,58.8,68,36,0.014,0.026,0.7,0.004
양천구,2016-11-29,69,407823,96.6,1.2,3.2,4.1,3,0,45.9,38,22,0.006,0.043,0.8,0.004
양천구,2016-11-30,75,407823,96.6,1.2,3.8,5.3,6.6,0.5,60.8,48,30,0.002,0.049,0.9,0.006
양천구,2016-12-01,65,406504,96.7,2.3,7,10.7,6.2,0,51.2,47,25,0.017,0.026,0.6,0.004
양천구,2016-12-02,65,406504,96.7,1.5,4.6,6.9,3,0,48.3,34,16,0.009,0.037,0.6,0.005
양천구,2016-12-03,80,406504,96.7,1.3,3.8,4.8,5.2,0,61,49,28,0.005,0.053,0.9,0.005
양천구,2016-12-04,76,406504,96.7,1.1,3,3.4,6.2,0,66.2,80,54,0.002,0.059,1.1,0.006
양천구,2016-12-05,68,406504,96.7,2.3,6.4,9.9,7.3,2,71.2,82,54,0.013,0.038,0.8,0.005
양천구,2016-12-06,53,406504,96.7,2,5.2,7.6,0.6,0,40.5,24,12,0.013,0.028,0.5,0.004
양천구,2016-12-07,68,406504,96.7,1.5,3.9,5.1,2.9,0,58.7,46,25,0.003,0.048,0.7,0.005
양천구,2016-12-08,44,406504,96.7,1.5,3.7,5.3,2.8,3,75.2,40,22,0.007,0.042,0.7,0.005
양천구,2016-12-09,52,406504,96.7,2.3,6.8,8,3.3,4,67.8,34,22,0.011,0.029,0.6,0.004
양천구,2016-12-10,33,406504,96.7,1.7,4.8,5.6,-0.1,0,52.4,34,19,0.01,0.027,0.6,0.004
양천구,2016-12-11,49,406504,96.7,1.4,3.8,5,0.2,0,46.1,34,21,0.005,0.036,0.7,0.004
양천구,2016-12-12,64,406504,96.7,1.8,3.7,4.4,2.7,0,45.4,46,29,0.002,0.045,1,0.005
양천구,2016-12-13,76,406504,96.7,1.6,5.6,6.9,4.8,0,55.5,62,37,0.006,0.038,1,0.005
양천구,2016-12-14,43,406504,96.7,1.6,3.8,5.8,0.9,0,73.3,47,24,0.006,0.029,0.6,0.005
양천구,2016-12-15,39,406504,96.7,2.3,6.4,9.1,-2.7,0,44.4,30,14,0.014,0.021,0.5,0.004
양천구,2016-12-16,39,406504,96.7,2,7.3,9.1,-3.4,0,41,30,15,0.009,0.03,0.6,0.004
양천구,2016-12-17,60,406504,96.7,1.3,2.6,3.3,3,0,60.5,57,33,0.003,0.047,0.9,0.005
양천구,2016-12-18,51,406504,96.7,1.3,3.7,4.8,5.7,0,71.7,39,24,0.005,0.039,0.7,0.005
양천구,2016-12-19,84,406504,96.7,1.8,3.9,4.9,8,0,70.3,42,24,0.003,0.043,0.9,0.004
양천구,2016-12-20,95,406504,96.7,1.2,3.3,3.9,8.6,0,73.1,55,34,0.003,0.044,1.1,0.005
양천구,2016-12-21,45,406504,96.7,2.1,4.7,6.8,8.2,31,78.5,45,25,0.003,0.042,1,0.006
양천구,2016-12-22,24,406504,96.7,2.9,6.5,9.4,7.2,22.5,92.3,32,18,0.009,0.024,0.6,0.004
양천구,2016-12-23,55,406504,96.7,3,6.6,9.8,-0.6,0,70.4,50,30,0.012,0.019,0.6,0.004
양천구,2016-12-24,45,406504,96.7,1.8,5,5.4,-0.9,0,66.3,69,45,0.007,0.028,0.8,0.004
양천구,2016-12-25,43,406504,96.7,1.5,3,4,1.7,0,73.9,60,38,0.003,0.035,1,0.005
양천구,2016-12-26,58,406504,96.7,1.4,4.3,5.7,3.8,0,76.5,64,36,0.003,0.04,1.1,0.005
양천구,2016-12-27,54,406504,96.7,2.4,7,8.2,0,0,58.6,42,23,0.012,0.022,0.6,0.004
양천구,2016-12-28,50,406504,96.7,1.7,4.9,7.1,-2.4,0,48.7,45,23,0.006,0.036,0.7,0.005
양천구,2016-12-29,34,406504,96.7,2.1,6.1,8.4,-2.6,0,53.5,34,14,0.01,0.026,0.5,0.004
양천구,2016-12-30,31,406504,96.7,1.4,3.8,4.7,-2.6,0,51.1,40,21,0.004,0.04,0.8,0.005
양천구,2016-12-31,38,406504,96.7,1.2,2.6,3.3,1.4,0,66.6,61,37,0.002,0.053,1.2,0.006
양천구,2017-01-01,36,406036,96.8,1.2,2.7,3.7,3.5,0,77.3,80,51,0.004,0.046,1.1,0.005
양천구,2017-01-02,62,406036,96.8,1.6,5.5,8,6.2,0,78.1,107,63,0.011,0.039,0.9,0.005
양천구,2017-01-03,63,406036,96.8,1.6,5.7,7.1,3.6,0,66.5,73,38,0.008,0.041,0.8,0.005
양천구,2017-01-04,83,406036,96.8,1.4,5.5,6.9,5.2,0,61.5,58,32,0.006,0.05,1,0.006
양천구,2017-01-05,80,406036,96.8,2.3,5.9,8.8,5,0,58.4,39,20,0.006,0.039,0.8,0.005
양천구,2017-01-06,80,406036,96.8,1.6,4.3,5.4,6.8,0,60.3,22,11,0.008,0.035,0.6,0.004
양천구,2017-01-07,78,406036,96.8,1.4,3.2,4,5.5,0,68.5,60,41,0.003,0.049,1,0.006
양천구,2017-01-08,64,406036,96.8,2,5.8,7.2,7.5,0,65.1,31,19,0.009,0.034,0.6,0.005
양천구,2017-01-09,62,406036,96.8,2.6,7,9.6,3.6,0,61.4,59,41,0.018,0.024,0.7,0.006
양천구,2017-01-10,44,406036,96.8,2.5,7,10.5,-1.4,0,47.7,31,15,0.016,0.022,0.5,0.005
양천구,2017-01-11,39,406036,96.8,2.1,6.7,8.9,-2.5,0,38.7,23,11,0.009,0.031,0.5,0.005
양천구,2017-01-12,40,406036,96.8,2.2,7,10.9,-0.6,0,48.1,31,16,0.012,0.029,0.5,0.005
양천구,2017-01-13,25,406036,96.8,2.3,6.5,11,-4.3,0,47,29,11,0.015,0.021,0.4,0.004
양천구,2017-01-14,19,406036,96.8,2.6,6.4,9.4,-6.7,0,36.4,38,10,0.017,0.016,0.4,0.004
양천구,2017-01-15,22,406036,96.8,1.6,3.8,5.2,-4.9,0,36.8,25,12,0.011,0.023,0.5,0.004
양천구,2017-01-16,41,406036,96.8,1.1,3.2,4.1,-2.5,0,41.7,43,23,0.003,0.042,0.8,0.005
양천구,2017-01-17,54,406036,96.8,1.3,4,4.9,-1.1,0,47,68,41,0.002,0.06,1.3,0.007
양천구,2017-01-18,56,406036,96.8,1,2.8,3.6,0.7,0,65.2,102,67,0.003,0.051,1.1,0.007
양천구,2017-01-19,47,406036,96.8,1.5,5.2,7.1,0.3,0,60.1,96,58,0.005,0.047,1,0.006
양천구,2017-01-20,13,406036,96.8,2,6.1,8.9,-2.5,3,66.7,59,36,0.012,0.032,0.7,0.005
양천구,2017-01-21,9,406036,96.8,1.4,4.8,7.7,-4.3,0.5,76.3,44,27,0.006,0.039,0.7,0.005
양천구,2017-01-22,12,406036,96.8,2.8,7.3,11.3,-6.1,0,51.1,62,24,0.018,0.02,0.5,0.005
양천구,2017-01-23,17,406036,96.8,1.9,6.1,7.5,-7.1,0,48.2,49,31,0.013,0.032,0.6,0.004
양천구,2017-01-24,33,406036,96.8,1.6,4.7,6.2,-5.6,0,51,40,25,0.008,0.038,0.7,0.005
양천구,2017-01-25,32,406036,96.8,1.5,4.3,5.4,-4.1,0,53.1,52,34,0.006,0.049,0.9,0.004
양천구,2017-01-26,39,406036,96.8,1.4,4.5,7.2,-1.2,0,62.9,69,54,0.008,0.055,1.1,0.006
양천구,2017-01-27,28,406036,96.8,2.8,8,10.8,-0.6,4,52.3,81,21,0.019,0.02,0.5,0.005
양천구,2017-01-28,23,406036,96.8,1.5,3.5,4.3,-0.8,0,43.1,29,16,0.006,0.035,0.6,0.004
양천구,2017-01-29,7,406036,96.8,1.3,3.8,5,1.6,5,71.3,28,21,0.004,0.036,0.7,0.005
양천구,2017-01-30,13,406036,96.8,1.2,5.8,6.6,-2.8,0,64.4,45,37,0.02,0.019,0.5,0.005
양천구,2017-01-31,27,406036,96.8,1.7,4.8,5.9,-4.1,0,49,28,20,0.009,0.034,0.6,0.006
양천구,2017-02-01,40,405111,96.7,2.1,6.6,8.5,-2.2,0,45.6,38,25,0.013,0.034,0.7,0.006
양천구,2017-02-02,34,405111,96.7,1.9,6.7,8.4,-1.5,0,50.9,31,20,0.011,0.034,0.6,0.006
양천구,2017-02-03,49,405111,96.7,1.6,5.7,7.3,2.6,0,67.1,66,50,0.011,0.046,0.9,0.006
양천구,2017-02-04,49,405111,96.7,1.5,3.1,3.8,1.9,0,71,101,84,0.002,0.063,1.4,0.007
양천구,2017-02-05,28,405111,96.7,2,5.7,8,2.9,0,72.5,66,58,0.011,0.035,0.9,0.006
양천구,2017-02-06,28,405111,96.7,2.4,6.2,8.8,0.1,0,51,37,28,0.019,0.024,0.5,0.006
양천구,2017-02-07,16,405111,96.7,1.4,4.1,5.1,-0.3,0,48.8,37,25,0.006,0.037,0.6,0.006
양천구,2017-02-08,32,405111,96.7,1.8,5.1,6.9,-0.4,0,52.4,46,30,0.006,0.035,0.7,0.008
양천구,2017-02-09,29,405111,96.7,2.9,6.7,9.7,-3.4,0,48.6,44,21,0.017,0.021,0.5,0.009
양천구,2017-02-10,28,405111,96.7,3,7.7,11.2,-5.2,0,45.3,30,21,0.018,0.02,0.5,0.007
양천구,2017-02-11,24,405111,96.7,2.4,6.5,8.4,-3.4,0,46.2,27,19,0.017,0.022,0.4,0.007
양천구,2017-02-12,42,405111,96.7,2,6.2,8.4,-0.9,0,52.1,28,21,0.014,0.029,0.6,0.007
